Designator,Mid X,Mid Y,Rotation,Layer
C1,182.8625,-105.4325,90.0,top
C10,170.5,-96.0,0.0,top
C11,140.5,-76.5675,90.0,top
C12,177.5,-70.5,90.0,top
C13,143.5,-107.0,270.0,top
C14,131.6375,-96.5,0.0,top
C15,172.4625,-100.5,90.0,top
C16,166.0,-76.0674,90.0,top
C17,131.5,-82.9325,90.0,top
C18,181.2674,-75.45,0.0,top
C19,183.5,-85.0,0.0,top
C2,154.9325,-67.0,0.0,top
C3,154.0,-64.0,90.0,top
C4,175.5,-67.0,270.0,top
C5,179.5,-68.0,0.0,top
C6,149.0,-108.5675,90.0,top
C7,172.5,-85.0675,180.0,top
C8,155.0,-70.4325,270.0,top
C9,172.0,-90.9325,90.0,top
D3,135.5975,-98.5725,270.0,top
J1,158.97,-58.27,90.0,top
J2,192.0325,-100.5,90.0,top
J3,126.5,-93.0,90.0,top
L1,143.0,-92.0,270.0,top
L2,131.0,-102.5,90.0,top
R1,183.9025,-94.5,0.0,top
R10,140.0975,-95.0,0.0,top
R11,183.5,-89.0,0.0,top
R12,140.0,-85.0,180.0,top
R13,140.0,-88.5,180.0,top
R14,122.0,-78.9325,90.0,top
R15,184.5499,-80.9,180.0,top
R16,161.5,-70.0,90.0,top
R17,133.2975,-78.5675,180.0,top
R18,134.3999,-75.0336,90.0,top
R2,177.0,-99.0,90.0,top
R3,149.0,-104.5975,270.0,top
R4,144.0,-103.5675,180.0,top
R5,178.1999,-76.8025,90.0,top
R6,136.0975,-95.0975,0.0,top
R7,141.0,-99.5,90.0,top
R8,166.5,-72.2324,90.0,top
R9,170.5,-73.2324,90.0,top
SW1,191.0,-87.46,270.0,top
U1,148.0,-70.9999,180.0,top
U10,126.985,-83.25,180.0,top
U11,166.7261,-66.8548,180.0,top
U12,124.5,-101.5,90.0,top
U2,176.8625,-105.5,90.0,top
U3,187.0001,-69.0,0.0,top
U4,176.8625,-93.55,0.0,top
U5,146.0,-81.0,180.0,top
U6,136.0,-107.5,90.0,top
U8,178.85,-87.45,180.0,top
U9,185.1724,-76.65,180.0,top
