Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,1u,C52923
C10,0805,1,47u,C16780
C11,0402,1,10u,C15525
"C12, C8",0402,2,10nF,C15525
"C13, C6",0402,2,4.7u, C23733
"C14, C15",0603,2,22u,C59461
"C16, C17",0402,2,1uF,C52923
"C2, C4, C7",0402,3,10uF,C15525
"C3, C5",0402,2,2.2uF,C12530
C9,0402,1,100n,C1525
D3,0402,1,D_Small,C2286
J1,PinHeader_2x16_P2.54mm_Vertical,1,Conn_02x16_Odd_Even,
J2,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,TYPE-C 6P(040新),C2887422
J3,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
"JP1, JP2, JP3, JP4",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,4,Jumper_2_Open,
L1,0805,1,4.7uH,C74314
L2,0805,1,4.7u,C74314
R1,0402,1,1K, C11702
R10,0402,1,51K, C25794
R11,0402,1,5.6K,
"R12, R13",0402,2,1K,C11702
"R14, R3, R5, R7",0402,4,10k,C25744
R15,0402,1,1.5K,C25867
R16,R_Axial_Shunt_L22.2mm_W8.0mm_PS14.30mm_P25.40mm,1,0.5m,C105052
R2,0402,1,10K, C25744
R4,0402,1,33K,C25779
R6,0402,1,100K,C25741
"R8, R9",0402,2,4.7k,C25900
SW1,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,SS-12D10L9,C319011
"TP1, TP10, TP11, TP12, TP13, TP14, TP2, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D2.0mm,12,TestPoint,
"U1, U3",DRV8833PWPR,2,DRV8833PWPR,C50506
"U10, U9",TPS22965DSGR,2,TPS22965DSGR,C122837
U11,SOT-23-6,1,TS5A3159ADBVR,C128405
U2,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH224K,C970725
U4,TSOT-23-6,1,AP63203WU,C780769
U5,TP4056,1,TP4056,C16581
U6,MSOP-8_3x3mm_P0.65mm,1,AP2114,C150716
U7,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,MT3608L,C2932326
U8,INA219AIDCNR,1,INA219AIDCNR,C87469
