Designator,Mid X,Mid Y,Rotation,Layer
C1,108.503,-93.4301,90.0,top
C10,136.0,-100.5,180.0,top
C11,145.4325,-111.0,0.0,top
C12,104.9325,-71.5,0.0,top
C13,121.5,-100.0,270.0,top
C14,128.195,-109.29,270.0,top
C15,107.82,-103.5425,180.0,top
C16,113.9325,-66.5,180.0,top
C17,114.4325,-70.0,180.0,top
C2,112.9355,-93.4976,180.0,top
C3,111.0,-91.5,90.0,top
C4,103.003,-92.4976,180.0,top
C5,100.5,-69.5,180.0,top
C6,147.5,-109.0675,270.0,top
C7,110.5,-100.5675,270.0,top
C8,117.003,-74.0,180.0,top
C9,139.695,-97.9325,270.0,top
D3,128.195,-103.5,270.0,top
J1,140.11,-68.27,270.0,top
J2,100.0,-109.0,270.0,top
J3,114.5,-113.0,270.0,top
L1,142.195,-95.0125,90.0,top
L2,128.5,-115.5,180.0,top
R1,114.0,-107.0,270.0,top
R10,120.0,-103.0,90.0,top
R11,145.695,-114.4025,270.0,top
R12,139.0975,-102.0,0.0,top
R13,141.4025,-105.0,0.0,top
R14,156.195,-113.9025,270.0,top
R15,153.5,-113.0,0.0,top
R16,158.35,-89.5,0.0,top
R2,106.0,-116.0,270.0,top
R3,142.0925,-81.3787,180.0,top
R4,141.0975,-75.0,180.0,top
R5,128.3275,-82.6,180.0,top
R6,149.5,-75.5,180.0,top
R7,144.5925,-80.3787,180.0,top
R8,142.0,-84.5975,270.0,top
R9,138.6025,-84.3787,0.0,top
SW1,137.46,-115.5,0.0,top
U1,125.1,-76.125,180.0,top
U10,112.515,-63.25,180.0,top
U11,150.0,-113.5,0.0,top
U2,107.5,-110.0,180.0,top
U3,104.2,-79.0,90.0,top
U4,135.695,-95.0,90.0,top
U5,146.5,-101.5,270.0,top
U6,153.0,-98.0,90.0,top
U7,118.545,-99.3875,270.0,top
U8,138.455,-80.3537,0.0,top
U9,144.75,-74.985,270.0,top
